"","cSObM2TOMPOOM080315.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report"
"1325100",1464,2270,3021,377,0,2118,374,1141,2107,1439,1960
"288000",1357,1744,2371,238,928,1715,401,1021,1974,1264,1647
"1223566",1383,1082,2921,0,595,1113,204,2627,1349,1071,998
"114615",1341,1683,2276,188,825,1600,356,941,1607,1183,1688
"1325102",0,1405,2056,407,812,1431,211,0,1962,1779,1128
"1197460",981,1393,2206,242,571,1438,257,873,1339,1018,1325
"115808",1227,1703,2209,215,821,1565,363,936,1717,1239,1605
"2057741",1116,1383,2118,221,662,1363,274,918,1367,976,1281
"1325120",964,1277,1867,227,576,1277,227,725,1301,904,1171
"2715960",903,1250,1737,170,520,1171,219,709,1205,785,1037
"1404888",1218,1095,1639,302,599,1131,214,2016,1278,838,924
"1325114",1005,1283,1306,289,706,1875,160,1632,2084,634,757
"1325112",872,1114,1349,141,449,1075,222,986,1164,676,880
"1325111",944,1046,1467,163,827,1016,186,1012,1231,806,958
"376",648,784,1005,124,353,708,138,720,846,506,669
"319017",294,352,430,56,170,330,62,340,336,220,271
"2493093",137,158,242,24,82,153,26,163,193,107,171
"2599805",77,70,122,16,47,95,18,113,112,66,80
"2599819",68,83,110,11,16,83,15,120,108,44,82
"1404649",21,26,46,2,9,22,9,20,28,16,27
"1325083",9,8,10,1,6,6,0,8,9,9,9
"2578113",1,0,0,0,0,0,0,0,0,1,0
"1274631",5384,3180,9274,994,1008,3229,406,2959,3072,2790,3263
"1437360",4438,5669,8565,906,2648,5782,1054,3278,7029,4262,5397
"190148",2287,2949,11678,1116,903,3005,372,1569,2782,2271,2843
"1355477",4257,5240,6370,847,2353,4890,887,0,5841,3251,4299
"722472",1398,2016,2992,333,864,1924,373,1004,2021,1431,1887
"83637",1177,1776,2371,253,742,1666,307,904,1626,1088,1595
"1245469",1399,1776,2426,233,860,1711,424,1153,1790,1301,1739
"255045",1139,1536,2261,263,665,1510,318,810,1632,1020,1367
"476282",196,238,346,40,112,242,53,230,252,185,215
"1037409",2,1,1,1,1,0,1,8,1,2,3
"1325107",1190,1412,1740,261,615,1820,174,1627,1412,883,1071
"1549949",1616,1324,1606,248,707,1324,226,2805,1423,948,1053
"1404367",1271,1336,1576,224,670,1304,229,1692,1975,813,963
"1404864",979,1097,1470,159,576,1040,209,1204,1487,739,997
"858423",978,1202,1526,189,574,1099,199,1230,1280,786,918
"1325090",1468,1358,1618,263,747,1377,264,1568,1697,840,1292
"83627",897,1092,1524,161,535,1060,219,957,1199,752,999
"1325115",1128,1408,1328,213,751,1842,175,1731,1721,745,852
"1325095",800,1059,1327,148,483,1012,199,915,1238,723,903
"1404768",671,795,1008,144,410,800,146,1002,1142,531,619
"244734",675,751,942,112,410,681,153,847,913,490,608
"931866",181,218,383,63,109,243,38,201,242,130,186
"1275962",12,17,25,1,7,14,5,35,19,28,29
"1867715",2709,1567,4051,756,986,1506,769,1487,1849,1594,2453
"2020412",2242,1296,2789,422,655,1089,932,983,1450,1044,1432
"2599640",2693,1549,3169,406,811,1386,1294,1159,1745,1508,1951
"1842539",1582,1401,2577,287,754,1337,587,1104,1708,1352,1769
"2015316",2166,1443,2338,424,773,1291,854,1020,1737,1189,1554
"1792307",1187,1146,2135,224,645,1059,467,840,1322,1084,1361
"1526658",1385,1260,2519,272,774,1193,537,972,1505,1240,1627
"316058",1290,1670,2049,208,870,1510,391,872,1717,1101,1656
"316055",1134,1362,1828,173,725,1387,326,753,1504,1032,1346
"316056",1222,1514,1870,215,804,1377,362,882,1590,971,1374
"652103",238,310,351,31,148,221,98,179,367,198,303
"395960",208,285,330,35,131,229,63,180,260,216,224
"2592814",21,41,57,10,17,40,2,24,42,29,38
"2592817",7,24,14,4,9,18,5,9,24,10,15
"2592815",21,11,25,1,9,25,7,15,21,22,32
"2592816",5,8,8,2,3,1,1,4,9,6,8
"943830",1130,1192,1661,166,749,1096,335,653,1300,800,1189
"1882747",869,1111,2121,225,522,1077,197,539,1069,743,1019
"504832",26,13,32,0,7,19,4,36,7,18,19
"1333996",1688,1888,2516,242,1104,2050,471,1073,2257,1397,1948
"323097",4658,2591,4031,412,1571,1317,398,8529,1957,824,1094
"323098",2310,1272,4279,419,826,920,947,14284,1276,738,777
"675281",3669,2525,3791,332,1474,1756,2174,1972,3688,1773,2346
"2584466",3704,2832,2809,281,1562,1150,2118,1402,3571,1200,1414
"2108445",2876,1375,2355,228,855,652,1866,1149,1883,902,908
"2082387",1977,1368,1912,178,824,777,1213,878,1769,801,1054
"2493672",1383,1053,1444,132,964,710,698,658,1246,680,883
"2493673",1354,1288,1568,155,1123,878,717,622,1385,834,993
"2493676",1467,1085,1514,141,868,792,826,663,1372,653,860
"2493668",1204,759,1699,160,501,583,668,593,939,702,780
"2777475",1508,1684,1665,217,6126,1653,837,667,1884,726,978
"2493680",1330,1135,2063,382,981,767,690,666,1355,672,864
"2493675",1218,984,1376,134,582,586,693,545,1197,650,766
"2744518",1363,982,1525,161,714,640,756,629,1286,687,818
"2744521",1275,792,1715,146,453,573,671,635,986,788,835
"2493669",1315,1052,1375,150,888,709,646,578,1185,640,796
"2654248",1234,946,1325,141,591,570,736,621,1209,631,782
"2493677",1060,693,1246,122,415,539,524,517,878,548,654
"2493679",920,653,911,83,458,419,499,406,905,429,542
"2493678",749,583,918,77,454,431,437,383,826,402,512
"2493671",690,654,797,77,1433,692,397,324,816,362,440
"2654249",935,421,750,70,322,274,568,384,692,322,392
"2483404",738,574,817,73,352,440,388,348,783,372,518
"2493681",686,461,775,59,317,327,343,346,660,345,433
"2744523",788,442,837,82,263,316,376,361,562,446,527
"2744516",679,491,731,84,315,380,353,333,682,327,456
"1854057",487,337,1024,74,213,244,265,278,445,340,373
"2744522",796,464,719,81,252,251,407,334,544,298,423
"2483403",483,376,524,48,258,221,260,216,547,216,330
"2744517",472,380,525,45,264,288,238,212,493,259,321
"2493674",375,335,398,40,652,337,200,188,395,228,257
"2493670",346,343,423,48,664,329,199,174,381,182,237
"2744515",179,89,197,23,76,82,81,88,131,90,112
"278153",176,118,234,23,83,80,104,75,144,100,95
"2744520",82,79,101,17,40,59,39,46,78,41,58
"2744519",64,33,104,4,29,30,19,34,30,45,69
"2483402",67,36,72,5,20,33,32,34,65,33,48
"1670800",2821,1881,2712,257,1122,1128,1720,1500,2857,1428,1706
"1082933",1338,936,1460,125,575,626,664,651,1184,633,833
"935548",746,535,763,73,309,372,398,343,698,347,479
"935546",96,72,99,15,42,64,33,62,106,45,61
"682633",568,330,886,77,220,245,264,291,519,352,452
"278148",159,126,205,27,88,91,80,70,179,96,148
"754035",917,731,992,105,448,452,515,450,969,445,621
"536019",903,718,1022,83,463,572,504,467,866,476,607
"1777866",805,587,828,71,383,396,469,344,673,347,511
"763057",69,71,86,7,45,42,53,36,93,56,51
"266835",160,128,223,19,89,114,91,81,147,100,119
"2725666",53,53,64,8,34,46,37,32,70,26,49
"2774562",469,210,530,56,118,158,298,191,302,184,244
"374606",2293,1160,2026,210,693,744,1357,924,1753,891,1093
"2666139",683,221,300,26,103,90,260,107,191,102,127
"83263",306,118,323,27,70,111,160,106,181,123,161
"266779",1146,2292,20712,2602,839,1004,720,689,8303,2893,1571
"2599600",2276,1566,2427,231,995,1013,1347,1238,2413,1204,1492
"1756988",1076,793,1146,85,450,541,662,618,1288,558,697
"1852022",1364,1297,1785,157,699,973,625,818,1575,970,1352
"1620421",609,570,763,73,247,419,304,346,627,467,521
"411684",553,457,663,66,250,387,320,315,621,402,485
"2742145",973,877,1327,100,495,725,564,676,1220,680,918
"1867719",626,483,817,76,305,387,350,389,681,389,480
"2718938",348,274,380,29,163,230,163,201,363,194,281
"2712698",395,379,432,48,171,323,180,232,510,294,355
"2305987",22,25,42,4,15,23,9,22,46,21,38
"2613769",8784,6100,9853,1207,4236,5893,6170,5956,8185,5112,6819
"384",3419,3013,5108,579,1883,2804,1919,2470,3599,2678,3652
"29449",1043,887,2436,304,674,869,724,1056,1013,738,1030
"348824",670,556,857,107,352,572,443,494,705,521,667
"396",491,512,909,121,343,528,354,378,631,395,612
"1312183",645,633,849,101,416,728,391,498,820,494,610
"379684",857,662,990,115,375,560,751,701,963,527,639
"1138189",501,442,683,101,403,392,315,417,501,349,508
"56730",463,388,855,84,238,326,274,371,407,457,476
"1138194",393,376,595,89,299,334,263,322,467,343,463
"293958",476,432,599,56,209,386,305,318,506,277,401
"1138190",330,299,501,86,248,334,216,263,365,271,366
"398",481,358,556,55,234,357,295,339,501,322,401
"1368430",669,357,582,52,227,287,357,495,487,281,397
"451876",2828,564,454,52,760,249,357,540,1261,243,322
"240521",511,337,502,72,205,280,319,353,427,262,384
"2583231",212,203,396,40,123,215,132,176,266,170,264
"1335061",567,243,378,42,187,235,1032,491,702,251,360
"1538158",206,161,298,47,127,157,124,135,211,196,220
"2267833",340,218,293,36,127,164,199,199,293,160,221
"648995",248,340,336,74,251,144,236,214,609,128,185
"1538159",72,79,109,12,52,68,50,57,93,45,89
"2081791",58,50,89,12,25,36,27,47,56,41,40
"448181",15,2,21,2,6,0,25,7,15,9,5
"1183400",3181,1884,5564,1451,1209,1612,1815,1921,2590,1539,2506
"373",874,710,1038,116,380,562,603,638,894,554,784
"2632611",1221,660,1007,129,309,571,625,767,906,519,726
"359",439,352,528,85,181,291,285,293,432,277,378
"28099",314,290,422,60,149,241,256,274,440,238,295
"160699",321,224,390,50,159,211,310,273,374,220,263
"1183412",7,3,3,0,7,1,6,9,5,4,3
"399",1848,1403,2182,340,1091,1533,1765,2395,1843,1119,1485
"2629175",1528,1134,1852,263,745,1088,2703,1619,1822,997,1159
"1125847",298,101,167,8,64,91,382,131,144,86,96
"663276",3456,2779,7435,922,2034,2641,2443,3636,3410,3061,3882
"382",16814,3758,16399,2118,5061,2431,0,48209,4442,5434,7639
"2613772",3625,1556,2570,359,984,1336,3462,1514,2445,1341,1800
"194963",965,707,5925,679,537,724,634,1054,994,889,1073
"110321",1280,754,1573,166,559,629,1496,2094,970,678,1065
"106592",2084,1476,4626,626,907,1378,1570,1543,1934,1263,2251
"375549",1279,997,1642,155,707,1055,825,1551,1312,1123,1299
"2633371",815,637,1152,148,356,588,1182,518,857,531,1004
"1752398",996,793,1144,124,488,645,565,786,885,694,969
"716925",825,723,1057,102,451,595,608,720,931,727,841
"879274",13010,1221,2097,239,769,979,5511,1296,2219,1054,1519
"2715959",3405,1133,1819,191,621,891,5723,952,2003,871,1150
"2795690",2040,1756,2785,240,1050,1693,1305,1240,2346,1531,2037
"2341112",997,850,1366,123,470,674,668,637,1329,682,809
"1969821",1007,725,1161,113,419,718,631,741,1092,703,806
"1273132",11,10,6,1,8,15,3,6,17,3,5
"1174529",0,0,0,0,0,0,0,0,0,2,1
"658172",2,3,5,0,1,4,1,3,3,104,5
"34020",25,2,4,3,5,11,2,34,13,9,20
"1261131",2,5,14,1,2,3,0,7,10,1,6
"426117",1905,2499,4337,399,1105,2274,635,1780,2501,2274,2757
"2202828",1138,1533,2424,212,656,1268,417,949,1598,1297,1569
"2603276",843,1088,1760,181,468,918,292,715,1092,919,1157
"2202826",735,988,1793,177,463,941,268,728,1035,962,1201
"925818",335,440,732,76,209,368,131,285,514,372,491
"2067957",294,305,513,77,158,281,109,250,393,298,393
"1479019",164,202,302,44,89,197,36,120,232,170,227
"739141",75,78,156,13,44,77,24,59,100,65,87
"2696060",0,0,0,0,0,2,0,0,0,0,0
"460265",1597,2677,4114,365,930,2434,606,1542,2395,2035,2417
"270351",1706,2102,3650,332,899,1866,613,1401,2057,1740,2320
"2202825",1324,1609,2868,293,787,1407,487,1176,1760,1544,1839
"2051553",804,1110,1927,168,520,956,284,742,1108,1013,1397
"2202827",900,1175,1942,175,520,986,298,688,1077,969,1362
"908290",858,1035,1922,188,484,956,313,767,1149,959,1239
"269660",806,1017,1706,163,467,882,292,698,1127,894,1151
"1775910",973,948,1649,158,388,814,270,619,974,785,1035
"426355",193,267,402,87,114,225,54,165,310,184,288
"418223",107,141,221,31,50,153,30,97,144,124,192
"693986",38,52,112,5,15,70,15,41,51,42,58
"2807101",2647,2840,16406,2117,1534,2642,3359,9550,2384,5957,5210
"2082949",1410,2092,4063,528,920,1440,2314,2697,1571,1862,1807
"1882682",2649,3025,16607,2081,1472,2664,2716,7527,2362,4758,4641
"2651334",1635,2165,4923,513,1081,1811,1414,3283,1936,2084,2418
"441620",227,351,451,53,140,277,129,188,469,229,328
"272630",387,428,880,223,231,406,136,311,523,423,555
"440085",145,183,306,68,56,140,66,113,202,161,186
"419610",122,133,246,77,73,144,45,116,148,124,200
"29429",30,36,66,10,19,39,12,27,43,48,38
"674703",6016,10221,9164,917,6340,11716,1025,3278,8725,5728,8036
"444923",4,5,7,1,3,4,2,5,7,2,11
"1736675",6300,2212,4489,962,2901,1718,3176,3524,4373,1637,2125
"2801335",3895,794,1467,297,883,552,2048,1547,1919,688,781
"2657486",2281,799,1159,158,700,641,1769,1035,1807,566,744
"2499144",1283,725,1053,94,545,521,989,764,1271,577,720
"2083786",1764,545,770,115,527,432,1865,808,1770,434,599
"2774137",1547,726,966,146,584,492,1548,841,1643,487,653
"2664417",628,417,478,64,341,298,401,391,647,298,374
"2759954",506,239,389,42,205,210,487,245,550,192,254
"400770",5549,934,1742,229,1055,651,5256,1284,2886,800,1056
"582899",1105,712,1161,98,511,819,334,475,856,627,1006
"670307",795,827,912,114,464,993,264,453,936,545,915
"1029756",1455,947,2066,196,650,1201,532,815,1325,996,1885
"717785",713,689,1081,92,545,762,280,441,830,778,974
"2233851",1492,1662,2470,198,917,1606,536,1034,1918,1423,1975
"1079",1216,1368,2146,165,780,1388,453,894,1638,1290,1641
"1384459",776,579,1051,77,378,772,372,448,813,648,917
"2170729",760,584,996,79,348,651,373,377,753,585,907
"2742204",1163,1018,1542,127,543,1134,548,662,1221,967,1350
"2820278",1116,1100,1681,157,677,1104,411,798,1360,980,1278
"648757",791,836,1114,131,430,800,307,577,1039,654,1013
"1447062",1834,1219,1473,168,1034,876,1243,1142,2030,830,1109
"1082931",0,0,0,0,0,0,0,1,1,0,0
"1608628",631,312,587,54,178,357,310,279,387,354,451
"1219035",360,400,492,44,263,324,174,289,557,304,431
"1335043",743,451,503,59,363,312,559,403,701,250,398
"454601",98,85,139,16,73,103,59,66,137,86,160
"331696",3509,5400,4444,395,4927,5047,955,1852,6320,2886,3547
"2562284",8838,3695,3756,318,4933,10738,1630,1445,5359,2216,2787
"2709380",1888,1914,3256,391,1096,1814,698,1165,2244,2343,2165
"639283",4484,1631,2810,261,913,1597,1111,1321,2023,1814,2173
"1850374",1389,1322,2007,203,725,1228,507,878,1651,1305,1548
"1745854",1050,1085,1597,151,610,994,399,670,1269,956,1293
"2528964",1775,1859,2826,267,948,1758,646,1244,2109,1727,2281
"438753",1348,1375,2063,180,753,1353,560,987,1631,1207,1626
"2789216",1319,1381,2223,196,806,1323,593,964,1704,1232,1548
"2712222",3534,1918,3562,389,1410,2773,692,1187,2633,2145,4000
"1235591",4704,2455,3933,332,1683,2463,1173,1554,3185,2746,3440
"1482074",1423,1338,1961,160,771,1186,575,965,1699,1156,1502
"573658",31,12,23,4,7,17,6,18,19,9,17
"134",866,929,1171,101,547,861,294,542,1048,754,1007
"173366",739,867,1139,154,512,849,272,583,1058,752,1020
"655015",729,950,1284,78,460,862,290,519,1024,772,988
"391905",712,771,1177,100,450,871,266,420,923,852,925
"187303",444,623,692,59,285,544,179,329,654,432,603
"595536",1008,1189,1651,153,614,1116,331,666,1325,989,1337
"2699395",808,1095,1304,108,518,923,302,640,1127,793,1189
"1349819",1249,1275,1908,171,658,1082,646,794,1617,1045,1375
"2758041",1182,1026,1488,143,521,850,545,720,1341,877,1126
"2816454",957,783,1351,115,444,700,456,588,1099,773,950
"1638161",2,9,5,0,5,2,3,1,5,1,0
"1701758",1107,1052,1607,150,533,852,583,788,1447,848,1209
"686597",366,335,551,59,198,264,208,284,501,284,337
"1122214",626,637,908,79,341,540,360,487,827,511,630
"1486262",620,605,842,70,330,521,362,429,777,442,623
"2583532",359,364,430,49,198,278,208,280,450,252,388
"538381",1754,1658,2579,229,818,1442,771,1140,2129,1458,1961
"1881061",916,908,1251,96,463,798,438,589,1223,752,1060
"2021862",496,456,709,70,247,461,243,354,586,433,553
"2590016",204,254,327,30,123,220,91,134,300,197,294
"2587861",217,224,300,32,103,185,106,165,275,203,230
"2587854",59,78,90,16,28,56,26,44,84,60,86
"1674922",54,30,66,9,29,48,18,33,57,42,53
"244592",289,271,417,32,142,211,144,168,342,182,261
"187304",84,51,124,14,39,54,30,37,77,58,89
"1402210",214,173,393,51,138,136,165,150,299,139,197
"911045",163,127,205,14,78,137,57,115,169,99,164
"1702325",1650,1873,2770,238,895,1488,757,1241,3065,1531,2005
"444444",928,910,1585,139,456,830,388,720,1444,880,1171
"395965",801,882,1127,100,465,794,278,489,955,674,989
"227605",615,770,1041,94,439,695,240,486,881,581,831
"569860",604,855,992,79,462,722,224,436,962,611,814
"31994",332,405,545,45,235,376,155,272,518,385,453
"402881",894,989,1248,112,610,909,407,595,1182,895,1227
"1712261",665,655,878,84,382,604,245,395,802,577,756
"1458461",266,298,393,25,162,266,101,183,379,244,309
"94625",796,1234,729,57,529,345,1941,246,835,292,555
"2632610",278,260,272,35,132,163,150,144,268,164,226
"271865",214,140,238,44,90,131,116,115,215,113,168
"529",474,108,188,18,68,95,423,140,159,88,146
"419475",65,63,107,419,28,62,52,46,123,74,86
"571256",68,44,104,515,44,47,47,56,105,81,96
"1218315",61,12,13,6,2,9,82,8,8,7,16
"29459",12,11,23,2,8,19,5,5,12,10,22
"235",6,2,3,0,0,7,0,2,3,2,1
"236",2,2,7,2,3,3,1,6,4,0,10
"29461",3,9,7,0,2,1,1,2,7,8,10
"120577",5,3,2,0,1,2,0,0,2,1,2
"36855",0,1,1,1,1,0,0,1,0,0,1
"120576",1,1,0,0,2,3,4,2,0,2,4
"444163",1,0,1,0,0,0,1,0,0,0,0
"239106",97,57,91,9,47,44,60,38,63,42,82
