"","s9OmM2TOMPOOB051285.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report"
"1325100",1711,1960,0,2270,3889,3021,1317,2187,374,3155,1254
"288000",1508,1647,928,1744,3070,2371,1210,1454,401,2153,1141
"1223566",1292,998,595,1082,2970,2921,654,1432,204,3851,812
"114615",1423,1688,825,1683,2912,2276,1154,1462,356,2109,1073
"1325102",1305,1128,812,1405,2872,2056,961,2152,211,2550,1150
"1197460",1183,1325,571,1393,2825,2206,910,1329,257,2125,888
"115808",1474,1605,821,1703,2812,2209,1100,1483,363,2012,977
"2057741",1137,1281,662,1383,2639,2118,895,1173,274,2011,885
"1325120",1076,1171,576,1277,2463,1867,799,1211,227,1846,793
"2715960",1015,1037,520,1250,2286,1737,740,1117,219,1705,751
"1404888",1047,924,599,1095,1940,1639,618,1248,214,1601,685
"1325114",744,757,706,1283,1809,1306,688,2306,160,1334,579
"1325112",846,880,449,1114,1759,1349,668,1180,222,1367,628
"1325111",926,958,827,1046,1711,1467,702,1089,186,1326,707
"376",601,669,353,784,1229,1005,408,819,138,908,445
"319017",246,271,170,352,561,430,179,354,62,403,195
"2493093",157,171,82,158,287,242,124,165,26,199,138
"2599805",85,80,47,70,141,122,47,115,18,129,60
"2599819",72,82,16,83,139,110,48,112,15,82,54
"1404649",42,27,9,26,48,46,16,21,9,42,18
"1325083",5,9,6,8,13,10,6,6,0,11,4
"2578113",0,0,0,0,2,0,0,1,0,0,0
"1274631",3550,3263,1008,3180,12525,9274,1949,4797,406,10306,1994
"1437360",4758,5397,2648,5669,11526,8565,3728,5058,1054,8295,3572
"190148",2941,2843,903,2949,11441,11678,1624,4651,372,9939,1681
"1355477",3875,4299,2353,5240,7919,6370,0,5534,887,0,2894
"722472",1748,1887,864,2016,4010,2992,1272,1789,373,2825,1246
"83637",1398,1595,742,1776,3130,2371,1027,1548,307,2419,966
"1245469",1518,1739,860,1776,3034,2426,1136,1497,424,2141,1144
"255045",1124,1367,665,1536,3004,2261,921,1375,318,2196,844
"476282",218,215,112,238,444,346,151,301,53,298,131
"1037409",1,3,1,1,10,1,0,0,1,6,2
"1325107",1005,1071,615,1412,2156,1740,766,1793,174,1595,782
"1549949",1095,1053,707,1324,1958,1606,733,1531,226,1526,815
"1404367",971,963,670,1336,1958,1576,759,1448,229,1463,730
"1404864",872,997,576,1097,1949,1470,698,1123,209,1409,650
"858423",916,918,574,1202,1921,1526,647,1279,199,1439,718
"1325090",938,1292,747,1358,1828,1618,904,1395,264,1386,943
"83627",884,999,535,1092,1818,1524,692,1073,219,1316,725
"1325115",833,852,751,1408,1664,1328,584,3269,175,1271,658
"1325095",811,903,483,1059,1641,1327,608,1025,199,1234,601
"1404768",541,619,410,795,1262,1008,469,914,146,940,467
"244734",561,608,410,751,1141,942,408,707,153,797,426
"931866",166,186,109,218,475,383,136,253,38,339,140
"1275962",31,29,7,17,30,25,15,17,5,19,19
"1867715",1915,2453,986,1567,4149,4051,1644,1281,769,2395,2784
"2020412",1281,1432,655,1296,3371,2789,936,1005,932,1828,1477
"2599640",1821,1951,811,1549,3221,3169,1292,1258,1294,2047,1886
"1842539",1642,1769,754,1401,2802,2577,1240,1090,587,1786,1562
"2015316",1371,1554,773,1443,2517,2338,1093,1006,854,1656,1555
"1792307",1246,1361,645,1146,2293,2135,955,863,467,1483,1138
"1526658",1425,1627,774,1260,2546,2519,1128,1008,537,1725,1358
"316058",1301,1656,870,1670,2819,2049,1086,1156,391,1811,1074
"316055",1113,1346,725,1362,2576,1828,933,937,326,1610,907
"316056",1099,1374,804,1514,2462,1870,924,1116,362,1630,884
"652103",236,303,148,310,499,351,204,201,98,313,207
"395960",289,224,131,285,404,330,185,176,63,282,184
"2592814",35,38,17,41,75,57,32,25,2,44,27
"2592817",13,15,9,24,21,14,12,12,5,16,4
"2592815",19,32,9,11,15,25,21,18,7,19,18
"2592816",5,8,3,8,13,8,6,6,1,9,4
"943830",985,1189,749,1192,2191,1661,751,899,335,1506,801
"1882747",946,1019,522,1111,2603,2121,642,1060,197,2072,701
"504832",18,19,7,13,22,32,12,13,4,11,14
"1333996",1614,1948,1104,1888,3845,2516,1390,1305,471,2621,1276
"323097",993,1094,1571,2591,2009,4031,729,1127,398,1464,854
"323098",759,777,826,1272,1429,4279,640,682,947,1121,842
"675281",2118,2346,1474,2525,3747,3791,1511,1322,2174,2145,2232
"2584466",1277,1414,1562,2832,2782,2809,980,937,2118,1484,1425
"2108445",947,908,855,1375,2066,2355,677,504,1866,1370,1053
"2082387",855,1054,824,1368,1909,1912,736,629,1213,1022,927
"2493672",754,883,964,1053,1613,1444,628,707,698,924,766
"2493673",917,993,1123,1288,1607,1568,707,906,717,1029,825
"2493676",801,860,868,1085,1546,1514,588,595,826,903,690
"2493668",792,780,501,759,1542,1699,556,489,668,829,740
"2777475",820,978,6126,1684,1541,1665,689,1411,837,1012,865
"2493680",726,864,981,1135,1513,2063,955,700,690,1547,705
"2493675",701,766,582,984,1454,1376,562,503,693,852,627
"2744518",810,818,714,982,1453,1525,578,537,756,853,740
"2744521",833,835,453,792,1438,1715,650,504,671,946,766
"2493669",717,796,888,1052,1402,1375,590,710,646,898,698
"2654248",750,782,591,946,1391,1325,497,491,736,798,704
"2493677",660,654,415,693,1076,1246,504,435,524,696,564
"2493679",469,542,458,653,899,911,379,349,499,578,479
