"","SRR11092499","SRR11092502","SRR11092506","SRR11092509","SRR11092512","t-0n7bM2TOMPOOA100365","t-1qGgM2TOMPOOM080340","t-9JUZM2TOMPOOB100355","t-a50wM2TOMPOOB051350","t-abKIM2TOMPOOA051320","t-aFJgM2TOMPOOM090325","t-AYtCM2TOMPOOA100360","t-cSObM2TOMPOOM080315","t-cuu6M2TOMPOOB051315","t-dSz8M2TOMPOOA051340","t-DYZgM2TOMPOOB100370","t-FvY2M2TOMPOOB051329","t-IGpcM2TOMPOOB051290","t-iYASM2TOMPOOA050195","t-nG3jM2TOMPOOA051345","t-Nm8MM2TOMPOOA051300","t-OeS0M2TOMPOOA051355","t-s9OmM2TOMPOOB051285","t-TECcM2TOMPOOA051310","t-vcXtM2TOMPOOB050180","t-wQqUM2TOMPOOA080335","t-XR8LM2TOMPOOB051125"
"356",27343,34229,36717,32364,23160,125239,278308,10117,54393,45725,40023,102523,78548,51020,90605,82087,70633,69803,62237,43490,56258,82269,61751,51504,107478,51610,54815
"41294",5311,4981,7296,3966,3182,28631,59588,2294,10140,11104,3152,20625,12804,9080,15467,20123,12525,14501,14185,8147,9389,16032,10495,8649,22423,9877,8281
"374",35718,26060,38610,19885,18252,75163,92756,7659,21673,41517,6172,57958,32052,26010,42073,57865,31330,38263,37909,17542,25293,44210,29048,21357,78570,34506,21122
"858422",12209,6869,10310,4200,5426,11447,5437,979,1435,4397,354,9940,2208,2545,2794,9777,2633,2800,2889,783,2210,3734,2753,1494,3483,1442,1526
"1223566",6086,4581,1603,946,1606,2970,2942,1638,917,1432,204,2921,1383,1138,1349,3851,998,1082,1113,595,1071,1743,1292,654,2874,2627,812
"1325100",4119,2614,4765,1791,1838,3889,4532,377,1270,2187,374,3021,1464,1626,2107,3155,1960,2270,2118,955,1439,2635,1711,1317,3110,1141,1254
"2057741",2440,1516,2771,1124,1181,2639,4740,221,937,1173,274,2118,1116,1067,1367,2011,1281,1383,1363,662,976,1685,1137,895,2066,918,885
"2898149",2320,1617,2249,1322,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"288000",2129,1527,2146,1200,1142,3070,4946,238,1188,1454,401,2371,1357,1299,1974,2153,1647,1744,1715,928,1264,2404,1508,1210,2721,1021,1141
"114615",2100,1571,2098,1269,1094,2912,3829,188,1113,1462,356,2276,1341,1272,1607,2109,1688,1683,1600,825,1183,2155,1423,1154,2642,941,1073
"115808",2082,1582,2117,1295,1152,2812,3741,215,1122,1483,363,2209,1227,1261,1717,2012,1605,1703,1565,821,1239,2069,1474,1100,2610,936,977
"1404888",1979,1422,2474,825,944,1940,2583,302,722,1248,214,1639,1218,829,1278,1601,924,1095,1131,599,838,1409,1047,618,2667,2016,685
"1325120",1973,1234,2151,896,942,2463,3069,227,791,1211,227,1867,964,945,1301,1846,1171,1277,1277,576,904,1607,1076,799,1876,725,793
"1325114",1707,1167,1679,850,1104,1809,2392,289,618,2306,160,1306,1005,758,2084,1334,757,1283,1875,706,634,1224,744,688,8324,1632,579
"1197460",1624,977,1715,755,705,2825,3261,242,810,1329,257,2206,981,1104,1339,2125,1325,1393,1438,571,1018,1749,1183,910,2026,873,888
"1325102",1541,951,1111,694,625,2872,4697,407,936,2152,211,2056,2490,1477,1962,2550,1128,1405,1431,812,1779,2464,1305,961,9317,4857,1150
"1325111",1534,1031,1823,737,732,1711,2424,163,1031,1089,186,1467,944,797,1231,1326,958,1046,1016,827,806,1320,926,702,2043,1012,707
"1325112",1510,1017,1555,780,733,1759,2253,141,572,1180,222,1349,872,768,1164,1367,880,1114,1075,449,676,1182,846,668,2126,986,628
"2840472",1500,1034,1678,705,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2840469",1266,862,1437,601,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2590772",1250,981,1132,637,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2840473",1203,781,1348,576,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1404443",1059,782,1236,567,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"376",499,353,581,267,246,1229,1805,124,488,819,138,1005,648,551,846,908,669,784,708,353,506,888,601,408,1519,720,445
"2823807",471,285,487,218,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1404649",416,270,431,187,176,48,275,2,24,21,9,46,21,22,28,42,27,26,22,9,16,37,42,16,40,20,18
"2493093",215,131,213,132,113,287,580,24,119,165,26,242,137,158,193,199,171,158,153,82,107,205,157,124,278,163,138
"2599805",155,93,161,72,69,141,226,16,59,115,18,122,77,64,112,129,80,70,95,47,66,107,85,47,282,113,60
"2599819",132,102,144,55,69,139,230,11,49,112,15,110,68,61,108,82,82,83,83,16,44,72,72,48,258,120,54
"1325083",7,12,8,5,6,13,32,1,6,6,0,10,9,1,9,11,9,8,6,6,9,12,5,6,26,8,4
"2578113",1,0,0,0,0,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"190148",11575,6381,9790,4284,5142,11441,5429,1116,1451,4651,372,11678,2287,2678,2782,9939,2843,2949,3005,903,2271,4072,2941,1624,3639,1569,1681
"1274631",11072,6515,9601,4308,5026,12525,5880,994,2049,4797,406,9274,5384,3041,3072,10306,3263,3180,3229,1008,2790,4896,3550,1949,3773,2959,1994
"1437360",8246,5634,9782,4163,3773,11526,15297,906,3777,5058,1054,8565,4438,4420,7029,8295,5397,5669,5782,2648,4262,6937,4758,3728,8167,3278,3572
"1355477",6452,4509,7074,3339,3221,7919,11850,847,2930,5534,887,6370,4257,3568,5841,5919,4299,5240,4890,2353,3251,5518,3875,2956,10805,5203,2894
"255045",3395,2333,4084,1767,1551,3004,4636,263,1065,1375,318,2261,1139,1131,1632,2196,1367,1536,1510,665,1020,1836,1124,921,2133,810,844
"722472",3073,2026,3521,1499,1366,4010,4968,333,1289,1789,373,2992,1398,1659,2021,2825,1887,2016,1924,864,1431,2318,1748,1272,2708,1004,1246
"83637",2783,1866,3162,1291,1333,3130,3768,253,1063,1548,307,2371,1177,1237,1626,2419,1595,1776,1666,742,1088,2078,1398,1027,2478,904,966
"858423",2661,1444,2457,1077,1038,1921,2573,189,645,1279,199,1526,978,819,1280,1439,918,1202,1099,574,786,1310,916,647,2519,1230,718
"375",1942,1218,2100,910,823,2407,3408,206,895,1547,255,1986,1261,1033,1539,1824,1232,1349,1439,695,1012,1659,1118,847,2671,1385,877
"44255",1912,1405,1949,1118,1030,3034,4324,233,1145,1497,424,2426,1399,1340,1790,2141,1739,1776,1711,860,1301,2157,1518,1136,2707,1153,1144
"1325115",1810,1056,1293,739,777,1664,2517,213,628,3269,175,1328,1128,790,1721,1271,852,1408,1842,751,745,1372,833,584,5393,1731,658
"993502",1782,1707,1195,615,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1404864",1766,1070,1637,832,764,1949,2561,159,676,1123,209,1470,979,753,1487,1409,997,1097,1040,576,739,1252,872,698,2430,1204,650
"1549949",1711,1174,1346,839,829,1958,3383,248,820,1531,226,1606,1616,925,1423,1526,1053,1324,1324,707,948,1424,1095,733,2808,2805,815
"83627",1678,999,1599,755,745,1818,2502,161,665,1073,219,1524,897,837,1199,1316,999,1092,1060,535,752,1356,884,692,2018,957,725
"1404367",1639,1205,1656,911,1251,1958,3257,224,656,1448,229,1576,1271,780,1975,1463,963,1336,1304,670,813,1356,971,759,3897,1692,730
"1325107",1587,1133,1736,839,767,2156,3038,261,788,1793,174,1740,1190,1029,1412,1595,1071,1412,1820,615,883,1451,1005,766,2680,1627,782
"2748629",1495,1027,1719,805,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1325095",1380,1006,1518,679,652,1641,2325,148,578,1025,199,1327,800,723,1238,1234,903,1059,1012,483,723,1229,811,608,2056,915,601
"1325090",1364,1080,1474,1043,729,1828,5234,263,731,1395,264,1618,1468,1036,1697,1386,1292,1358,1377,747,840,1486,938,904,2717,1568,943
"1404411",1256,875,1469,725,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1404768",1080,718,1039,529,571,1262,1758,144,436,914,146,1008,671,516,1142,940,619,795,800,410,531,840,541,469,2858,1002,467
"244734",1032,619,1024,500,455,1141,4139,112,564,707,153,942,675,502,913,797,608,751,681,410,490,865,561,408,1476,847,426
"931866",414,251,463,185,226,475,537,63,134,253,38,383,181,153,242,339,186,218,243,109,130,258,166,136,470,201,140
"29448",13,13,14,5,16,30,100,1,23,17,5,25,12,7,19,19,29,17,14,7,28,29,31,15,17,35,19
"1073",110,128,198,101,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1076",4715,4939,6299,4208,3339,18257,31272,1386,7744,7502,2584,13527,8899,7483,11417,11853,10188,10397,9916,5712,7414,12483,8542,7053,15358,6007,6719
"340268",872,745,1337,668,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"475937",751,718,1125,640,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1395974",530,421,678,407,320,124,237,11,37,30,12,64,63,35,53,72,44,47,44,22,48,58,48,43,91,32,24
"1404741",460,387,582,372,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
