"","X9JUZM2TOMPOOB100355.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report"
"1325100",377,3155,1141,4532,374,2118,1317,1626,1711,1270,2107
"288000",238,2153,1021,4946,401,1715,1210,1299,1508,1188,1974
"1223566",0,3851,2627,2942,204,1113,654,1138,1292,917,1349
"114615",188,2109,941,3829,356,1600,1154,1272,1423,1113,1607
"1325102",407,2550,0,4697,211,1431,961,1477,1305,936,1962
"1197460",242,2125,873,3261,257,1438,910,1104,1183,810,1339
"115808",215,2012,936,3741,363,1565,1100,1261,1474,1122,1717
"2057741",221,2011,918,4740,274,1363,895,1067,1137,937,1367
"1325120",227,1846,725,3069,227,1277,799,945,1076,791,1301
"2715960",170,1705,709,3658,219,1171,740,864,1015,695,1205
"1404888",302,1601,2016,2583,214,1131,618,829,1047,722,1278
"1325114",289,1334,1632,2392,160,1875,688,758,744,618,2084
"1325112",141,1367,986,2253,222,1075,668,768,846,572,1164
"1325111",163,1326,1012,2424,186,1016,702,797,926,1031,1231
"376",124,908,720,1805,138,708,408,551,601,488,846
"319017",56,403,340,852,62,330,179,226,246,207,336
"2493093",24,199,163,580,26,153,124,158,157,119,193
"2599805",16,129,113,226,18,95,47,64,85,59,112
"2599819",11,82,120,230,15,83,48,61,72,49,108
"1404649",2,42,20,275,9,22,16,22,42,24,28
"1325083",1,11,8,32,0,6,6,1,5,6,9
"2578113",0,0,0,3,0,0,0,0,0,0,0
"1274631",994,10306,2959,5880,406,3229,1949,3041,3550,2049,3072
"1437360",906,8295,3278,15297,1054,5782,3728,4420,4758,3777,7029
"190148",1116,9939,1569,5429,372,3005,1624,2678,2941,1451,2782
"1355477",847,0,0,0,887,4890,0,3568,3875,2930,5841
"722472",333,2825,1004,4968,373,1924,1272,1659,1748,1289,2021
"83637",253,2419,904,3768,307,1666,1027,1237,1398,1063,1626
"1245469",233,2141,1153,4324,424,1711,1136,1340,1518,1145,1790
"255045",263,2196,810,4636,318,1510,921,1131,1124,1065,1632
"476282",40,298,230,555,53,242,151,185,218,144,252
"1037409",1,6,8,3,1,0,0,1,1,0,1
"1325107",261,1595,1627,3038,174,1820,766,1029,1005,788,1412
"1549949",248,1526,2805,3383,226,1324,733,925,1095,820,1423
"1404367",224,1463,1692,3257,229,1304,759,780,971,656,1975
