"","AYtCM2TOMPOOA100360.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report"
"1325100",3021,1317,1711,4532,3889,1439,1270,2118,1141,2270,374
"288000",2371,1210,1508,4946,3070,1264,1188,1715,1021,1744,401
"1223566",2921,654,1292,2942,2970,1071,917,1113,2627,1082,204
"114615",2276,1154,1423,3829,2912,1183,1113,1600,941,1683,356
"1325102",2056,961,1305,4697,2872,1779,936,1431,0,1405,211
"1197460",2206,910,1183,3261,2825,1018,810,1438,873,1393,257
"115808",2209,1100,1474,3741,2812,1239,1122,1565,936,1703,363
"2057741",2118,895,1137,4740,2639,976,937,1363,918,1383,274
"1325120",1867,799,1076,3069,2463,904,791,1277,725,1277,227
"2715960",1737,740,1015,3658,2286,785,695,1171,709,1250,219
"1404888",1639,618,1047,2583,1940,838,722,1131,2016,1095,214
"1325114",1306,688,744,2392,1809,634,618,1875,1632,1283,160
"1325112",1349,668,846,2253,1759,676,572,1075,986,1114,222
"1325111",1467,702,926,2424,1711,806,1031,1016,1012,1046,186
"376",1005,408,601,1805,1229,506,488,708,720,784,138
"319017",430,179,246,852,561,220,207,330,340,352,62
"2493093",242,124,157,580,287,107,119,153,163,158,26
"2599805",122,47,85,226,141,66,59,95,113,70,18
"2599819",110,48,72,230,139,44,49,83,120,83,15
"1404649",46,16,42,275,48,16,24,22,20,26,9
"1325083",10,6,5,32,13,9,6,6,8,8,0
"2578113",0,0,0,3,2,1,0,0,0,0,0
"1274631",9274,1949,3550,5880,12525,2790,2049,3229,2959,3180,406
"1437360",8565,3728,4758,15297,11526,4262,3777,5782,3278,5669,1054
"190148",11678,1624,2941,5429,11441,2271,1451,3005,1569,2949,372
"1355477",6370,0,3875,0,7919,3251,2930,4890,0,5240,887
"722472",2992,1272,1748,4968,4010,1431,1289,1924,1004,2016,373
"83637",2371,1027,1398,3768,3130,1088,1063,1666,904,1776,307
"1245469",2426,1136,1518,4324,3034,1301,1145,1711,1153,1776,424
"255045",2261,921,1124,4636,3004,1020,1065,1510,810,1536,318
"476282",346,151,218,555,444,185,144,242,230,238,53
"1037409",1,0,1,3,10,2,0,0,8,1,1
"1325107",1740,766,1005,3038,2156,883,788,1820,1627,1412,174
"1549949",1606,733,1095,3383,1958,948,820,1324,2805,1324,226
"1404367",1576,759,971,3257,1958,813,656,1304,1692,1336,229
"1404864",1470,698,872,2561,1949,739,676,1040,1204,1097,209
"858423",1526,647,916,2573,1921,786,645,1099,1230,1202,199
"1325090",1618,904,938,5234,1828,840,731,1377,1568,1358,264
"83627",1524,692,884,2502,1818,752,665,1060,957,1092,219
"1325115",1328,584,833,2517,1664,745,628,1842,1731,1408,175
"1325095",1327,608,811,2325,1641,723,578,1012,915,1059,199
"1404768",1008,469,541,1758,1262,531,436,800,1002,795,146
"244734",942,408,561,4139,1141,490,564,681,847,751,153
"931866",383,136,166,537,475,130,134,243,201,218,38
"1275962",25,15,31,100,30,28,23,14,35,17,5
"1867715",4051,1644,1915,10143,4149,1594,1315,1506,1487,1567,769
"2020412",2789,936,1281,6887,3371,1044,1000,1089,983,1296,932
"2599640",3169,1292,1821,5008,3221,1508,1292,1386,1159,1549,1294
"1842539",2577,1240,1642,4036,2802,1352,1112,1337,1104,1401,587
"2015316",2338,1093,1371,5952,2517,1189,1201,1291,1020,1443,854
"1792307",2135,955,1246,3155,2293,1084,841,1059,840,1146,467
"1526658",2519,1128,1425,3969,2546,1240,1082,1193,972,1260,537
"316058",2049,1086,1301,4542,2819,1101,1211,1510,872,1670,391
"316055",1828,933,1113,4173,2576,1032,1028,1387,753,1362,326
"316056",1870,924,1099,4478,2462,971,1059,1377,882,1514,362
"652103",351,204,236,1064,499,198,181,221,179,310,98
"395960",330,185,289,780,404,216,164,229,180,285,63
"2592814",57,32,35,120,75,29,27,40,24,41,2
"2592817",14,12,13,62,21,10,7,18,9,24,5
"2592815",25,21,19,30,15,22,16,25,15,11,7
"2592816",8,6,5,9,13,6,4,1,4,8,1
"943830",1661,751,985,4461,2191,800,984,1096,653,1192,335
"1882747",2121,642,946,3199,2603,743,697,1077,539,1111,197
"504832",32,12,18,123,22,18,26,19,36,13,4
"1333996",2516,1390,1614,4269,3845,1397,1298,2050,1073,1888,471
"323097",4031,729,993,44838,2009,824,2888,1317,8529,2591,398
"323098",4279,640,759,63896,1429,738,1190,920,14284,1272,947
"675281",3791,1511,2118,13529,3747,1773,1749,1756,1972,2525,2174
"2584466",2809,980,1277,17587,2782,1200,1743,1150,1402,2832,2118
"2108445",2355,677,947,11218,2066,902,885,652,1149,1375,1866
"2082387",1912,736,855,8908,1909,801,992,777,878,1368,1213
"2493672",1444,628,754,4921,1613,680,1333,710,658,1053,698
"2493673",1568,707,917,4942,1607,834,1472,878,622,1288,717
"2493676",1514,588,801,5479,1546,653,1165,792,663,1085,826
"2493668",1699,556,792,4151,1542,702,727,583,593,759,668
"2777475",1665,689,820,6353,1541,726,6131,1653,667,1684,837
"2493680",2063,955,726,4601,1513,672,1272,767,666,1135,690
"2493675",1376,562,701,4351,1454,650,797,586,545,984,693
"2744518",1525,578,810,5048,1453,687,902,640,629,982,756
"2744521",1715,650,833,4039,1438,788,744,573,635,792,671
"2493669",1375,590,717,4857,1402,640,1246,709,578,1052,646
"2654248",1325,497,750,5794,1391,631,695,570,621,946,736
"2493677",1246,504,660,3471,1076,548,573,539,517,693,524
"2493679",911,379,469,3481,899,429,566,419,406,653,499
"2493678",918,360,476,3592,836,402,483,431,383,583,437
"2493671",797,350,410,2864,831,362,1507,692,324,654,397
"2654249",750,267,347,3333,804,322,372,274,384,421,568
"2483404",817,341,417,3032,783,372,487,440,348,574,388
"2493681",775,300,386,2825,773,345,447,327,346,461,343
"2744523",837,420,480,2533,771,446,318,316,361,442,376
"2744516",731,329,408,2459,718,327,413,380,333,491,353
"1854057",1024,273,372,1765,701,340,392,244,278,337,265
"2744522",719,345,371,2310,670,298,274,251,334,464,407
"2483403",524,243,300,2274,568,216,319,221,216,376,260
"2744517",525,249,262,1741,538,259,325,288,212,380,238
"2493674",398,189,242,1376,438,228,743,337,188,335,200
"2493670",423,167,213,1412,397,182,677,329,174,343,199
"2744515",197,77,86,635,193,90,105,82,88,89,81
"278153",234,78,113,519,147,100,92,80,75,118,104
"2744520",101,45,37,407,107,41,59,59,46,79,39
"2744519",104,56,54,224,100,45,47,30,34,33,19
"2483402",72,19,47,174,73,33,43,33,34,36,32
"1670800",2712,1164,1564,9483,2876,1428,1265,1128,1500,1881,1720
"1082933",1460,567,757,5334,1432,633,718,626,651,936,664
"935548",763,328,481,2847,789,347,384,372,343,535,398
"935546",99,41,59,334,107,45,43,64,62,72,33
"682633",886,320,412,1440,717,352,311,245,291,330,264
"278148",205,98,113,657,186,96,94,91,70,126,80
"754035",992,428,575,3559,1062,445,558,452,450,731,515
"536019",1022,402,530,3513,1016,476,575,572,467,718,504
"1777866",828,334,423,3031,809,347,461,396,344,587,469
"763057",86,39,43,315,78,56,67,42,36,71,53
"266835",223,71,82,628,209,100,102,114,81,128,91
"2725666",64,40,44,860,93,26,80,46,32,53,37
"2774562",530,163,194,4500,2408,184,158,158,191,210,298
"374606",2026,780,977,21367,2241,891,894,744,924,1160,1357
"2666139",300,72,91,1926,510,102,117,90,107,221,260
"83263",323,118,175,2260,723,123,125,111,106,118,160
"266779",20712,959,4962,4396,6197,2893,16274,1004,689,2292,720
"2599600",2427,1105,1313,7210,2386,1204,1130,1013,1238,1566,1347
"1756988",1146,471,663,4065,1180,558,621,541,618,793,662
"1852022",1785,973,1169,3716,1781,970,941,973,818,1297,625
"1620421",763,409,521,2102,837,467,405,419,346,570,304
"411684",663,348,418,2002,765,402,314,387,315,457,320
"2742145",1327,603,761,2968,1370,680,615,725,676,877,564
"1867719",817,375,498,2480,839,389,450,387,389,483,350
"2718938",380,191,233,1411,496,194,182,230,201,274,163
